company,venue,zone,booth_no,brand,products,registered
kikaGO Limited,TaiNEX 2,InnoVEX,S0927,,"Smart Wearable Device,Head & Bluetooth Earphone,Bluetooth & Wi-Fi Wireless Speaker",2026-03
"King-On Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1123,King-On,Handheld Charger,2026-03
KINGDY Technology Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P0829,,"Mini PC Barebone,Industrial Computer,Embedded Products",2026-03
"Kingtron Electronics Tech. Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0201,,"USB Adapter, Cable & Hub",2026-03
Kinpower International Ltd,TaiNEX 1,Components & Advanced Power Tech,I0301,,"Computer Case,PC Cooling & Fan,Other Computer Peripherals",2026-03
KIOXIA Taiwan Corporation,TaiNEX 2,Semiconductors & Hospitality Suites,X0001,"KIOXIA,EXCERIA",Solid State Drive (SSD),2026-03
KIPO TECHNOLOGY,TWTC Hall 1,TechXperience,D0527a,,,2026-03
KIWATEK TECHNOLOGY GROUP,TaiNEX 2,Industrial IoT & Embedded Systems,P0729,"Kiwatek,Travla",Industrial Computer,2026-03
"Kneron (Taiwan) Co., Ltd.",TaiNEX 2,AI Computing & System Integration Solution,R0532,,,
Kolink int. Corp. (Noctua),TaiNEX 2,Consumer Electronic Accessories,P0228,"Noctua,Coolink",PC Cooling & Fan,2026-03
Kompenzo,,,,,"Artificial Intelligence & Big Data,Green Tech & Sustainability",2026-03
Konsttech LTD,TaiNEX 2,InnoVEX,S1304,,,2026-03
Konsttech LTD.,TWTC Hall 1,Robotics,A1219a,"KONST,康斯特科技",Cloud Computing & IT Services,2026-03
Konten Networks Inc.,TWTC Hall 1,Robotics,A0917a,,"Industrial Computer,Network Switch",
KOOLNSPED,TaiNEX 2,InnoVEX,S0209a,,,2026-03
KopherBit Co. | Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"KopherBit Co., Ltd.",TaiNEX 1,Smart Mobility and Drone Tech,N0814,KopherBit,,2026-03
KOTRA,TaiNEX 2,InnoVEX,S0203a,,other,2026-03
"KOWIN TECHNOLOGY CO.,LTD",TaiNEX 2,Consumer Electronic Accessories,Q0924,,"Solid State Drive (SSD),Memory Card,AI Server ,Edge Computing ,Streaming Platform",
"KSH INTERNATIONAL CO., LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P1405,"e-NET,KSH",IIoT Solution,2026-03
"KTI GROUP CO.,LTD",TaiNEX 1,Components & Advanced Power Tech,J1301,COMSTARS,"Switching Power Supply,Computer Case,Computer Power Supply,PC Cooling & Fan,Other Computer Components & Parts",2026-03
"KUEEN LIH ENTERPRISE CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0314,,"Plug,Other Computer Peripherals",2026-03
KUMAMOTO CITY,,,,KUMAMOTO CITY,,2026-03
KYE SYSTEMS CORP. (Genius),TaiNEX 1,Gaming,L1311,"Genius,Genius AI,GX Gaming",,2026-03
Kyoujin inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P1022,KYOUJIN,Embedded Products,
LABAU Technology Corp.,TaiNEX 2,Intelligent Business Solutions,P0102a,LABAU,"Industrial Computer,Other Computer Monitors",2026-03
Lablup Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"Lakeze Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,,,2026-03
"LAN Accessories Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0305a,,Other Computer Peripherals,2026-03
Lanner Electronics Inc.,TWTC Hall 1,Robotics,A1227a,Lanner,Industrial Computer,2026-03
LANPOWER INC.,TaiNEX 2,Consumer Electronic Accessories,Q0412,LANPOWER,"Uninterruptible Power Supply (UPS),Power Converter,Power Bank,Other Computer Peripherals",2026-03
"Lantech Communications Global, Inc",TaiNEX 1,Advanced Communication & Networking,K0128,LANTECH,Network Switch,2026-03
LaplaceAI,TaiNEX 2,InnoVEX,S0209a,,,2026-03
Larch Networks,TaiNEX 2,InnoVEX,S0905,,,2026-03
Latticework Taiwan LTD,TaiNEX 2,AI Computing & System Integration Solution,R0932a,VAISense,Others,
"LD ELECTRONICS CO.,LTD.",TaiNEX 2,InnoVEX,S0203a,,,2026-03
Leadtek Research Inc.,TaiNEX 1,AI Computing & Tech,J1106,"Leadtek,amor,WinFast","Workstation,Application Software",
Leapfrog Distribution Pte Ltd,TaiNEX 1,International,N0313,"ARMAGGEDDON,SONICGEAR,ALCATROZ","Head & Bluetooth Earphone,Portable Speaker,Computer Case,PC Cooling & Fan,Bluetooth Keyboard & Mouse,Gaming Headphone & Headset & Microphone ,Gaming Accessories ,Gaming Monitor",2026-03
Leeuwenhoek Laboratories Co. | Ltd.,TaiNEX 2,InnoVEX,S1320,,,2026-03
LegalSign.ai,TaiNEX 2,InnoVEX,S0107,,Enterprise Software,2026-03
LEGEND INNOVATION INC.,TaiNEX 2,AI Computing & System Integration Solution,R0128,,,2026-03
Lemon ET ltd,TaiNEX 1,Components & Advanced Power Tech,I1201a,,"Switching Power Supply,Computer Power Supply",2026-03
"LENGDA(XIAMEN) CO., LTD",TaiNEX 1,AI Computing & Tech,J1001,,Laptop Computer,2026-03
LENZO,TaiNEX 2,InnoVEX,S0304,,,2026-03
"LEX COMPUTECH CO., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P1213,LEX SYSTEM,Embedded Products,
"Lexking Technology Co., Ltd.",TWTC Hall 1,TechXperience,A0235,Lexking,"PC Keyboard,Mouse",2026-03
LHY TECH. CORP.,TaiNEX 1,Components & Advanced Power Tech,I0601a,LHY Electric Water Pump,"Liquid cooling pump for AI server, CDU, immersion cooling & edge computing",
"Lian Li Industrial Co., Ltd.",TaiNEX 2,Storage & Management Solutions,R0906,LIANLI,"Server,Computer Power Supply",2026-03
LIGHT MOMENTUM TECHNOLOGY CORP.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Lightspeed International Co.,TaiNEX 1,Advanced Communication & Networking,K1201a,"Lightspeed,Wave Speed",Gateway,2026-03
LightSpeed Photonics Pte Ltd,TaiNEX 1,Advanced Communication & Networking,J1233a,"LightKonnect, LightPCIe","IC Design, Packaging & Foundry,Live Streaming Solutions,Data Capturing & Identification,Other Networking,Data Center (DC) / Cloud Service Provider (CSP),Edge Computing",
Ligna Energy AB,TaiNEX 2,InnoVEX,S0409a,,,
LIN XIAO INVESTMENT CO. | LTD. |,TaiNEX 2,InnoVEX,S0117,,,2026-03
"LINGBO CO., LTD.",TaiNEX 2,InnoVEX,S0512,,,2026-03
Linker Vision Co. | Ltd.,TaiNEX 2,InnoVEX,S0104,,,2026-03
"Linkreal Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0021,LR-LINK,"Disk Array / RAID,Networking Storage,Network Adapter / Network Interface Card (NIC),Other Networking,Optical Fiber,5G/5G-A/6G Related Products,Wi-Fi / ZigBee Dongle & Module",
"Linkworld Electronic Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1423,"AZZA,Linkworld",Computer Case,2026-03
Linque,TaiNEX 2,InnoVEX,S0724,,,2026-03
"Lintes Technology Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0628,LINTES,"Communication Cable,Other Computer Components & Parts,Computer Cables & Connectors,KVM Cable & Switch,USB Adapter, Cable & Hub,Other Networking,Optical Fiber",
LiPro Vision Co.; Ltd.,TaiNEX 2,InnoVEX,S0323a,LiPro Vision Co.; Ltd.,,2026-03
Litemax Electronics Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P0926,"Litemax,Durapixel,Spanpixel","Embedded Products,LCD Monitor",
LITEON TECHNOLOGY,TaiNEX 1,AI Computing & Tech,J0617a,LITEON,Cloud Computing & IT Services,2026-03
Little Wing Technologies Corp.,TaiNEX 2,Consumer Electronic Accessories,Q1234b,Little Wing,"PC Keyboard,Mouse,Bluetooth Keyboard & Mouse",2026-03
Liverage Technology Inc.,TaiNEX 1,AI Computing & Tech,J0631a,Liverage,"Interface Test Equipment,Automated & Industrial Controller Module,Photoelectric Sensor,Microwave Communication Equipment",2026-03
Locus Connect,TaiNEX 2,InnoVEX,S0923,,,2026-03
LogTek Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
LONGSYS ELECTRONICS,TaiNEX 2,Storage & Management Solutions,R1006,"Lexar,FORESEE,Zilia","Server,Solid State Drive (SSD),Disk Enclosure,Memory Card,DRAM,Gaming MicroSD、SDXC ,Industrial Memory,Smart Cockpit",
loop international limited,TaiNEX 1,International,N0401,,"Mini PC Barebone,All-In-One & Desktop Computer,Computer-Integrated Manufacturing (CIM),Computer Case",2026-03
"Loopmaas Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,,,2026-03
"LS Materials Co.,Ltd",TaiNEX 1,Components & Advanced Power Tech,I0303,LS Materials,Energy Storage Solutions,2026-03
LSC Ecosystem Corporation,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Microcomputer Control System,2026-03
Lucid Vision Labs | Inc.,TaiNEX 2,InnoVEX,S0506,,other,2026-03
LUMI LEGEND CORPORATION,TaiNEX 1,International,N0005,LUMI,"TV Mount,Live Streaming Solutions,Game Controller & Joystick,Other Video Game Accessories,Monitor Mount & Stand,Other Computer Accessories,Gaming Accessories ,Gaming Headphone & Headset & Microphone",2026-03
Lumotive,TaiNEX 2,InnoVEX,S0506,,other,2026-03
"LUWILL TECHNOLOGY CO.,",TaiNEX 1,Smart Mobility and Drone Tech,N1027,,"Smart Wearable Device,Webcam,Backup Camera & Parking Sensor,Drive Recorder,Car Navigation & GPS,IP Camera",2026-03
LYNWAVE TECHNOLOGY LIMITED,TaiNEX 1,Advanced Communication & Networking,K0231a,,Communication Antenna,2026-03
M2COMM,TWTC Hall 1,ePaper Pavilion,D0235a,,E-paper Display,2026-03
Macro Image Technology,TaiNEX 1,Components & Advanced Power Tech,I1401,MDIN,"IC Design, Packaging & Foundry",2026-03
"MACTRON GROUP CO., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P1207,MACTRON,Industrial Computer,2026-03
Mad Catz Global Limited Taiwan Branch,TWTC Hall 1,TechXperience,A0225,,Game Controller & Joystick,2026-03
Magic Control Technology Corporation,TaiNEX 2,Consumer Electronic Accessories,Q1329,,"Video Camera,Live Streaming Solutions",2026-03
"Makalot Industrial Co., Ltd.",TaiNEX 1,System Integration Solution,N1213a,,,2026-03
MANGROVE,TaiNEX 2,InnoVEX,S0203a,,,2026-03
Manli technology group Ltd.,TaiNEX 1,Gaming,L1105a,Manli,Graphics Card,
"Marson Technology Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1219,MARSON,"Data Capturing & Identification,Bar Code Inventory Machine,Bar Code & QR Code System",
"MASS WORLD INTERNATIONAL CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0516,,"USB Adapter, Cable & Hub,Optical Fiber",2026-03
Matias Corporation,TaiNEX 2,Consumer Electronic Accessories,Q0334a,Matias,,2026-03
MaxLinear Inc.,TaiNEX 1,Advanced Communication & Networking,K0006,"Panther,MaxAI,Keystone","System on Chip(SOC),Embedded Processor,IC Design, Packaging & Foundry,Networking Storage",2026-03
Maxsun Technology LTD.,TaiNEX 2,Storage & Management Solutions,R0306,MAXSUN,"PC Motherboard,Solid State Drive (SSD)",2026-03
Mbranfiltra CO. | LTD.,TaiNEX 2,InnoVEX,S1014,,,2026-03
MCK TECHNOLOGY CORPORATION,TaiNEX 2,Consumer Electronic Accessories,Q0105,MCK,"AC / DC Adapter,Other Mobile Phone & Tablet PC Accessories,Bluetooth & Wi-Fi Wireless Speaker,Power Bank,USB Adapter, Cable & Hub,Car Charger",
"Mcloudware Technology Co., LTD",TaiNEX 1,International,N0526,Blackberry QNX,"QNX OS,OS",
Mcurich Inc.,TaiNEX 1,Advanced Communication & Networking,K0626,新型M647972號,"Communication Cable,Server,Other Networking,IIoT Solution,Optical Fiber",2026-03
"MEAN WELL ENTERPRISES CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0725a,MEAN WELL,"Robotic Arm,Uninterruptible Power Supply (UPS),Switching Power Supply,AC / DC Adapter,Power Converter,Other Networking",2026-03
Mecademic Inc.,TaiNEX 2,InnoVEX,S0506,,,2026-03
"Media Magic Co., Ltd.",,,,,,2026-03
Mediatek,TWTC Hall 1,ePaper Pavilion,D0215a,Dimensity 9500,E-paper Display,2026-03
MediaTek Inc.,TaiNEX 1,System Integration Solution,L0818,"MediaTek Dimensity,MediaTek Dimensity Auto,MediaTek Genio","IC Design, Packaging & Foundry",2026-03
MediaTek Research,TaiNEX 2,InnoVEX,S0524,,Artificial Intelligence & Big Data,2026-03
MedVigilance Inc.,,,,MedVigilance Inc.,,2026-03
Megajoy Enterprise Co; Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
"MeiG Smart Technology Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K1115a,"MEIGLink, MEIG","Router,IIoT Solution,5G/5G-A/6G Related Products ,Wi-Fi / ZigBee Dongle & Module ,Edge Computing ,Generative AI / LLM ,IOT Sensor Device",2026-03
"MEIGAO INNOVATION TECHNOLOGY (SHEN ZHEN) CO., LTD",TaiNEX 1,System Integration Solution,L0301,MINISFORUM,"Workstation,Mini PC Barebone,Network Attached Storage (NAS)",2026-03
"MEMORENCE AI CO., LTD.",TaiNEX 2,InnoVEX,S0311a,"MEMORENCE AI CO., LTD.",,2026-03
"Men-Shing Enterprise Co.,Ltd",TaiNEX 2,Storage & Management Solutions,R0101,,,
MetAI Technology Co. | Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"Metalscooler Co., Ltd.",TWTC Hall 1,TechXperience,A0404,,PC Cooling & Fan,2026-03
Metanoia Communications Inc.,TaiNEX 1,Advanced Communication & Networking,K0531,Metanoia,"IC Design, Packaging & Foundry",2026-03
Metaphora Lab,TaiNEX 2,InnoVEX,S1008,,,2026-03
MetaRosetta CO. | LTD,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"MHS Co., Ltd.",TaiNEX 1,Gaming,L1201,,"Liquid Cooling System,CPU Cooler,GPU Cooler,Gaming PC",
"Michilin Prosperity Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0315a,"Filux,GoECOlife","Bar Code Scanner,Other Computer Peripherals",2026-03
Micro Module Technology Co. | Ltd.,TaiNEX 2,InnoVEX,S1013,,,2026-03
"Micro-Star International Co., Ltd.",TaiNEX 1,AI Computing & Tech,J0605a,"MSI,MSI AIoT","Industrial Computer,Embedded Products,IIoT Solution,Electric Vehicle Battery & Charger,Other Automobile Electronics,Air Drone",2026-03
"Micro-Star International Co., Ltd.",TaiNEX 1,System Integration Solution,L0118,msi,"All-In-One & Desktop Computer,Laptop Computer,PC Motherboard,LCD Monitor,Graphics Card,Bluetooth Keyboard & Mouse",2026-03
Microip Inc.,TWTC Hall 1,Robotics,A1215a,,Image Recognition Service / Device,
Microlinks Technology Corp.,TWTC Hall 1,TechXperience,A1203a,ViTiny,Industrial Automatic & Smart Machinery Turnkey Equipment,2026-03
Microview Electronics (Guizhou) Incorporation,TWTC Hall 1,ePaper Pavilion,D0421a,,Automated & Industrial Controller Module,2026-03
"MILLENNIAL WORKS CO.,LTD",TaiNEX 2,InnoVEX,S0203a,,,2026-03
Millilab Co. | Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
"Mind with Heart Robotics Co., Ltd.",TWTC Hall 1,Robotics,A0703a,,Robot,2026-03
Minerva Innovation Company,TaiNEX 2,AI Computing & System Integration Solution,R0933,,Other Add-On & Interface Cards,2026-03
Ming Chi University of Technology,TaiNEX 2,InnoVEX,S1204,,,2026-03
"MING JILEE ENTERPRISE CO., LTD",TWTC Hall 1,TechXperience,A1108,,Computer Cables & Connectors,2026-03
"Ming Li Co., Ltd.",TaiNEX 1,Smart Mobility and Drone Tech,N0019,,Other Automobile Electronics,2026-03
"MinGo Technology Co., Limited",TaiNEX 2,InnoVEX,S1314,,Solid State Drive (SSD),2026-03
MINIX TECHNOLOGY LIMITED,TaiNEX 2,Consumer Electronic Accessories,Q0123,MINIX,"AI mini computer,AI Workstation,Wireless Dongle,Portable Monitor",2026-03
Minpo Corporation,TaiNEX 1,Components & Advanced Power Tech,I1308,ANACOMDA,"Solid State Drive (SSD),DRAM",2026-03
"Mistel Co.,Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0706a,Mistel,PC Keyboard,2026-03
MiTAC Computing Technology Corp.,TaiNEX 2,AI Computing & System Integration Solution,R0504,MiTAC Computing,PC Motherboard,
MiTAC Computing Technology Corp.,TWTC Hall 1,Robotics,A0618,,,2026-03
MITS Component & System Corp.,TaiNEX 1,Advanced Communication & Networking,K1231,,Communication Cable,
"MITSUIWA SHINKO MFG. CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0129,,Other Computer Peripherals,
"MITWELL, INC.",TaiNEX 2,Industrial IoT & Embedded Systems,P0113,,Industrial Computer,2026-03
MLR srl,TaiNEX 2,InnoVEX,S1008,,,2026-03
"Mobilint, Inc.",TaiNEX 1,International,N0429a,"MLA100,MLX-A1,REGULUS","Edge Computing,Generative AI / LLM",2026-03
MobiWebX Smart Technologies Co. | Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"Modernsolid Industrial Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0415a,MODERNSOLID,"Other Industrial Automatic Equipment & Smart Machinery,Other Mobile Phone & Tablet PC Accessories,TV Mount,Industrial Computer,Other Computer Components & Parts",2026-03
"Moka Technology (Guangdong) Co., Ltd",TaiNEX 1,International,N0405,,"LCD Monitor,Touch Screen Monitor & Panel,Gaming Monitor",2026-03
Moldintel,TaiNEX 2,InnoVEX,S1014,,,2026-03
Molex,TaiNEX 1,System Integration Solution,M1330,,"Electrical Connectors,Other Computer Components & Parts,Computer Cables & Connectors,Communication Cable ,Battery Energy Storage Material ,AI Air Cooling / Liquid Cooling System ,Immersion Cooling",2026-03
"Moment semiconductor, inc.",TaiNEX 2,Consumer Electronic Accessories,P1030,"MMOMET,LinkMore","Card Reader,Disk Enclosure,Other Computer Peripherals",2026-03
Money Coming Soon Incorporation,TaiNEX 2,Intelligent Business Solutions,P0401c,,"Tablet PC,POS System,Bar Code Scanner,Bar Code & QR Code System,Printer,Business Intelligence Service",2026-03
Monolithic Power Systems,TaiNEX 1,International,N0530,,"Robot,Robotic Arm,Cloud Computing & IT Services,Servo Motor ,AI Server",2026-03
Monster Notebook,TaiNEX 1,Gaming,M1201a,"Monster Notebook, Tulpar Notebook, Pusat","Workstation,All-In-One & Desktop Computer,Industrial Computer,Computer Case,Gaming Desktop ,Gaming Notebook ,Gaming Accessories ,Gaming Monitor",
"MOOR Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1401,MoerLab,Bluetooth & Wi-Fi Wireless Speaker,2026-03
"Morale AI CO., LTD",TaiNEX 2,InnoVEX,S0712a,,,2026-03
Morgenrot Inc.,TaiNEX 2,InnoVEX,S0005,,"Enterprise Software,Gen-AI",
"Moso Power Supply Technology Co., Ltd",TaiNEX 1,Components & Advanced Power Tech,I0330,,"Switching Power Supply,AC / DC Adapter",2026-03
Motive Power Technology Ltd,TaiNEX 2,Consumer Electronic Accessories,Q0734b,MPCAM,Video Camera,2026-03
Mototech Technology Group Ltd,TaiNEX 2,Consumer Electronic Accessories,P0126,"Motospeed, Darmoshark","PC Keyboard,Mouse,Bluetooth Keyboard & Mouse,Gaming Mouse ,Gaming Headphone & Headset & Microphone",2026-03
Mouser Electronics,TaiNEX 1,AI Computing & Tech,J1105a,,,2026-03
MTE,TaiNEX 2,Industrial IoT & Embedded Systems,P0826,,Industrial Computer,
"Multi-Direction Co., Ltd.",TWTC Hall 1,TechXperience,A1007a,,"Power Bank,Car Charger",2026-03
Mushroom goodness,TaiNEX 2,InnoVEX,S1213,,,2026-03
"MUSTARD SEED DESIGN CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0333b,Simmpo,Handheld Screen Protector,
MW,TaiNEX 2,InnoVEX,S1014,,,2026-03
MyComfyTech,TaiNEX 2,InnoVEX,S0209a,,,2026-03
MyMoney,TaiNEX 2,InnoVEX,S1008,MyMoney,,2026-03
Mynature Biotech Inc.,TaiNEX 2,InnoVEX,S0923,,,2026-03
"NAiKE CLEAN TECHNOLOGY CO., LTD",TWTC Hall 1,TechXperience,A0227a,,,2026-03
NanoBridge Semiconductor,TaiNEX 2,InnoVEX,S0304,,,2026-03
Nanomade,TaiNEX 2,InnoVEX,S1216,Nanomade,"Consumer Tech,Sustainability",
National Enhance Technology Corp. (Netsys),TaiNEX 1,Advanced Communication & Networking,J1433,Netsys,Other Networking,
National Taiwan Normal University,TaiNEX 2,InnoVEX,S1204,,,2026-03
National Taiwan University,TaiNEX 2,InnoVEX,S1204,,"Semiconductors & Core Tech,Edge Computing",2026-03
National Taiwan University of Science and Technology,TaiNEX 2,InnoVEX,S1204,,,2026-03
National Yang Ming Chiao Tung University,TaiNEX 2,InnoVEX,S0923,,,2026-03
National Yang Ming Chiao Tung University AI System Benchmarking and Tuning Lab,TaiNEX 1,System Integration Solution,M1111a,myLLM,"IC Design, Packaging & Foundry",2026-03
NcodiN,TaiNEX 2,InnoVEX,S1216,Nconnect,,
NdotLight,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Neopower Technologies,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Neoton Optronics Corporation,TWTC Hall 1,TechXperience,A1311a,,Switching Power Supply,2026-03
Neousys Technology Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0129,Neousys,"Industrial Computer,Embedded Products",
"NEOWINE CO., LTD.",TaiNEX 1,Components & Advanced Power Tech,I1001,"NEOWINE, ALPU, DALPU",,
"Netac Technology Co., Ltd.",TaiNEX 2,Storage & Management Solutions,R1202,Netac,"Hard Disk Drive (HDD),Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,Memory Card,DRAM",2026-03
Netris,TaiNEX 1,International,N0008,,"Network Switch,Cloud Computing & IT Services,Data Center (DC) / Cloud Service Provider (CSP),AI Server ,IT & Internet Services",
Netronix Inc.,TWTC Hall 1,ePaper Pavilion,D0321,,"E-paper Display,E-book Reader",2026-03
"Netronix, Inc.",TaiNEX 1,Advanced Communication & Networking,K1215a,"ZuniDATA,SABLE","E-paper Display,E-book Reader,POS System,Network Switch,Other Networking",2026-03
Netsweeper,TaiNEX 1,International,N0526,"nFilter,nsEnforce","Other Computer Software,Telecommunication Services",
Network Optix,TaiNEX 1,International,N0319,"Network Optix,Nx EVOS","CCTV System,Cloud Computing & IT Services,Edge Computing ,IP / Digital Surveillance ,Open Source Hardware & Software",
NeuinX CO. | LTD.,TaiNEX 2,InnoVEX,S0923,,,2026-03
NeuroShine,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"New peak Technology Co.,Limited",TaiNEX 1,International,N1331a,New peak,"Solid State Drive (SSD),Networking Storage,Network Hub,Other Networking,Network Attached Storage (NAS)",2026-03
New Taipei City Government Youth Department,TaiNEX 2,InnoVEX,S0209a,,,2026-03
"NEWEGG TAIWAN, INC.",TaiNEX 1,System Integration Solution,L0429a,,"Computer Case,PC Cooling & Fan,Solid State Drive (SSD),Graphics Card,DRAM,CPU/GPU/APU ,Gaming Notebook ,Gaming Motherboard",2026-03
Newsight Imaging,TaiNEX 2,InnoVEX,S0905,,,2026-03
"Newsmay Technology Co., LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P1302b,,"Workstation,Mini PC Barebone,Industrial Computer,Digital Signage",2026-03
"NEXcell Battery Co., Ltd",TWTC Hall 1,Robotics,A0917,NEXcell,"Solar Cell and Module Manufacturing Machine / Equipment,Lithium & Li-ion Battery",2026-03
"NEXCOM International Co., Ltd.",TWTC Hall 1,Robotics,A0618,,,2026-03
Nexuni,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Nien-Yi Industrial Corp,TaiNEX 1,Advanced Communication & Networking,K0415,Nienyi,"Communication Cable,Computer Cables & Connectors,Fiber Media Converter,IP Camera",2026-03
NimbleTech Digital Inc.,TaiNEX 2,InnoVEX,S0531,,,2026-03
"Ningbo HYCONNECT Communication Technology Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0931a,HYCONNECT,"Network Adapter / Network Interface Card (NIC),LPWAN Module (LTE / NBIoT / LoRa / Sigfox / Weightless),Other Networking,Communication Antenna,Optical Fiber,Wireless WAN Dongle/Module ,IT & Internet Services",
"NINGBO JING XIN SCIENCE AND TECHNOLOGY CO.,LTD.",TaiNEX 2,Intelligent Business Solutions,P0301b,,"POS Printer,Barcode Printer",2026-03
"NingBo LiYuan Electronics Co.,Ltd",TaiNEX 1,Advanced Communication & Networking,K0027,,Other Networking,2026-03
Nirik inc,TaiNEX 2,InnoVEX,S0003,,,
"Nissho Electronics Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0504,"CASECOM,Oblanc,Air Passion",Computer Case,
Noetiq Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Nueteq Technology Inc.,TaiNEX 1,Advanced Communication & Networking,K1107a,Rextron,"Computer Cables & Connectors,KVM Cable & Switch,Other Networking",
NunoX Tech Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"Nuwa Robotics (HK) Limited, Taiwan Branch.",TWTC Hall 1,Robotics,A0509a,,Robot,2026-03
NVIDIA,TaiNEX 1,International,N1431,,CPU/GPU/APU,2026-03
NVIDIA Inception Startups,TaiNEX 2,InnoVEX,S0712a,,,2026-03
NVIDIA MGX Wall,TaiNEX 2,Consumer Electronic Accessories,Q0101a,,Others,2026-03
NX Electronics Limited,TaiNEX 1,Components & Advanced Power Tech,I0008,"Samsung,Micron,Nvidia","PC Cooling & Fan,Memory Card,Graphics Card,DRAM,CPU/GPU/APU ,Gaming MicroSD、SDXC ,AI Server",
NXP Semiconductors,TWTC Hall 1,Robotics,A0803,,"IC Design, Packaging & Foundry",2026-03
NYB.AI PTE. LTD.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"OakMega Tech Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,"OakMega Tech Co., Ltd.",,2026-03
OCCT,TaiNEX 1,International,N1229,OCCT,"Application Software,Industrial Software,Other Computer Software",
Ochy,TaiNEX 2,InnoVEX,S0923,,,2026-03
"OCT Technology CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0106,,KVM Cable & Switch,2026-03
Oculi,TaiNEX 2,InnoVEX,S0724,,,2026-03
"Oetiker Japan Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1421,"Oetiker, オエティカ, 欧梯克","AI Air Cooling / Liquid Cooling System,Liquid Cooling System",
Okibo,TaiNEX 2,InnoVEX,S0304,,,2026-03
Okinawa Prefecture,TaiNEX 2,InnoVEX,S0920,Okinawa Prefecture,,2026-03
Olive Inc.,TaiNEX 2,InnoVEX,S0118,,"AI & Big Data,Digital Transformation",2026-03
omoomi Inc,TaiNEX 2,InnoVEX,S0532,,,2026-03
Oncogen.AI Inc,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Open Source Team Taiwan,TaiNEX 2,InnoVEX,S0524,,Other,2026-03
opensource4you,TaiNEX 2,InnoVEX,S0524,,"Enterprise Software & SaaS,Generative AI & LLM",2026-03
OPSCO OPTOELECTRICS Taiwan Branch,TaiNEX 1,Components & Advanced Power Tech,I1008,,"LED,IC Design, Packaging & Foundry,LED Display Module,LED Display & Monitor",2026-03
"Optech Technology Co., LTD.",TaiNEX 1,Advanced Communication & Networking,K1201,Optech,LPWAN Module (LTE / NBIoT / LoRa / Sigfox / Weightless),2026-03
Optiqb AI Technology Ltd,TaiNEX 2,InnoVEX,S0311a,,,2026-03
